,X,Y,method,covar,alternative,n,r,CI95%,p-unc,system,ci_low,ci_high,marker,p-fdr
48,ADRR,Waist circumference,pearson,"['age', 'gender']",two-sided,7100,-0.0804668343560714,[-0.1  -0.06],1.1282139961208129e-11,Anthropometry and body composition,-0.1,-0.06,o,1.0330565530136535e-10
49,ADRR,Sitting BP systolic,pearson,"['age', 'gender']",two-sided,7101,-0.03563451257602837,[-0.06 -0.01],0.0026748104725739254,Vascular,-0.06,-0.01,o,0.007392425894476413
50,ADRR,Sitting BP diastolic,pearson,"['age', 'gender']",two-sided,7103,-0.04320182361195013,[-0.07 -0.02],0.00027098472507847815,Vascular,-0.07,-0.02,o,0.0008900277292885522
51,ADRR,BMI,pearson,"['age', 'gender']",two-sided,7104,-0.10193032642841945,[-0.12 -0.08],7.246743460547596e-18,Anthropometry and body composition,-0.12,-0.08,o,1.094862157831066e-16
52,ADRR,AST\GOT (BT),pearson,"['age', 'gender']",two-sided,2322,-0.01646691767090519,[-0.06  0.02],0.42790712738764813,Liver,-0.06,0.02,o,0.5505896405172329
53,ADRR,CRP (BT),pearson,"['age', 'gender']",two-sided,942,-0.07650299386030807,[-0.14 -0.01],0.01898349176728069,Inflammatory markers,-0.14,-0.01,o,0.04222953444672379
54,ADRR,Triglycerides (BT),pearson,"['age', 'gender']",two-sided,2667,-0.06058748992553924,[-0.1  -0.02],0.0017531033517617326,Lipids,-0.1,-0.02,o,0.004935367044633573
55,ADRR,Total cholesterol (BT),pearson,"['age', 'gender']",two-sided,2623,-0.01442048708074559,[-0.05  0.02],0.4605429062534385,Lipids,-0.05,0.02,o,0.5811518211598975
56,ADRR,GGT (BT),pearson,"['age', 'gender']",two-sided,998,-0.024253280396965057,[-0.09  0.04],0.44452650212032696,Liver,-0.09,0.04,o,0.5661505895624938
57,ADRR,ALT\GPX,Y,method,covar,alternative,n,r,CI95%,p-unc,system,ci_low,ci_high,marker,p-fdr
ADRR,Waist circumference,pearson,"['age', 'gender']",two-sided,7100,-0.080466834,[-0.1  -0.06],1.13E-11,Anthropometry and body composition,-0.1,-0.06,o,1.03E-10
ADRR,Sitting BP systolic,pearson,"['age', 'gender']",two-sided,7101,-0.035634513,[-0.06 -0.01],0.00267481,Vascular,-0.06,-0.01,o,0.007392426
ADRR,Sitting BP diastolic,pearson,"['age', 'gender']",two-sided,7103,-0.043201824,[-0.07 -0.02],0.000270985,Vascular,-0.07,-0.02,o,0.000890028
ADRR,BMI,pearson,"['age', 'gender']",two-sided,7104,-0.101930326,[-0.12 -0.08],7.25E-18,Anthropometry and body composition,-0.12,-0.08,o,1.09E-16
ADRR,AST\GOT (BT),pearson,"['age', 'gender']",two-sided,2322,-0.016466918,[-0.06  0.02],0.427907127,Liver,-0.06,0.02,o,0.550589641
ADRR,CRP (BT),pearson,"['age', 'gender']",two-sided,942,-0.076502994,[-0.14 -0.01],0.018983492,Inflammatory markers,-0.14,-0.01,o,0.042229534
ADRR,Triglycerides (BT),pearson,"['age', 'gender']",two-sided,2667,-0.06058749,[-0.1  -0.02],0.001753103,Lipids,-0.1,-0.02,o,0.004935367
ADRR,Total cholesterol (BT),pearson,"['age', 'gender']",two-sided,2623,-0.014420487,[-0.05  0.02],0.460542906,Lipids,-0.05,0.02,o,0.581151821
ADRR,GGT (BT),pearson,"['age', 'gender']",two-sided,998,-0.02425328,[-0.09  0.04],0.444526502,Liver,-0.09,0.04,o,0.56615059
ADRR,ALT\GPT (BT),pearson,"['age', 'gender']",two-sided,2719,-0.055856369,[-0.09 -0.02],0.003586184,Liver,-0.09,-0.02,o,0.009675224
ADRR,HbA1C (BT),pearson,"['age', 'gender']",two-sided,1700,-0.02202769,[-0.07  0.03],0.364336921,HbA1C,-0.07,0.03,o,0.488368255
